gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
LOC100232212,1.2612759653416713e-99,0.41962187188734373,0.274,0.135,2.198404007590533e-95
LOC115498418,8.573378835693458e-99,-0.24934326550647976,0.04,0.15,1.4943399310613698e-94
TENM2,4.4808799092023837e-98,0.2555109311740438,0.9,0.863,7.810173681739755e-94
POLR2L,9.614252453618415e-98,-0.31315585966885917,0.17,0.337,1.6757642026656898e-93
DIAPH2,4.168634797951898e-97,-0.29082770261291846,0.661,0.803,7.2659304528301585e-93
CHL1,1.0124379267016226e-96,0.2791779300121091,0.809,0.777,1.764679306240928e-92
GAPDH,1.6621717810765656e-96,0.39097299601232605,0.685,0.605,2.897165414416454e-92
DENND5B,1.3617161702522178e-95,-0.2924958848863626,0.543,0.722,2.3734712847496155e-91
COX2,4.3105572403015025e-95,0.29040138592616405,0.911,0.885,7.513301269845519e-91
GABRB3,8.05519222406831e-95,-0.3260923355178589,0.503,0.685,1.4040200046551065e-90
INTU,1.8161375127594296e-94,0.4107744645590865,0.599,0.502,3.165527684739686e-90
CELF2,5.135975636070299e-94,-0.15429419674152012,0.981,0.986,8.95200553367053e-90
ELAVL2,9.132054445502961e-94,-0.2305463584749412,0.812,0.901,1.591717089851166e-89
CSMD3,1.0654770754998071e-93,-0.26050939476875845,0.738,0.861,1.8571265425961637e-89
R3HDM4,1.2123434796770226e-92,-0.3030889717008295,0.177,0.341,2.1131146850770503e-88
SERINC1,1.5181594677587872e-92,0.34906132036477033,0.669,0.582,2.646151952303566e-88
LRRTM3,1.783653394329908e-92,-0.3444537290419871,0.643,0.775,3.10890786631703e-88
PLXNA2,4.670476767408494e-91,0.38376722805885244,0.556,0.444,8.140641005593004e-87
ENOX1,6.046559366869079e-91,-0.20346152240040727,0.958,0.966,1.0539152976452804e-86
APOA1,7.061529153108882e-91,-0.3910988616522737,0.528,0.723,1.2308245313868781e-86
NMU,1.044460165567618e-90,-0.2803012205906608,0.077,0.203,1.8204940685843582e-86
SLIT3,1.8309165373482221e-90,-0.3289504545522095,0.472,0.647,3.191287524597951e-86
ENPP2,5.759862661078825e-90,-0.26009772957611754,0.107,0.247,1.0039440618260393e-85
CALM1,5.792530129979941e-90,0.2495564650954445,0.909,0.888,1.0096380016555037e-85
ATP2A2,1.1794194875182607e-88,0.23123916078345008,0.918,0.915,2.0557281667443283e-84
ALCAM,2.389927201838743e-88,0.3229597257007777,0.785,0.733,4.165643112804929e-84
LOC115494591,3.4100470053369087e-87,-0.20697613685446445,0.019,0.102,5.943711930302232e-83
EEF1A2,5.880586042097848e-87,0.3604137831603824,0.623,0.528,1.0249861471376548e-82
TBC1D7,1.19376373496275e-86,0.3984742637160792,0.461,0.332,2.0807301900400733e-82
KLHL13,1.8482596950059355e-84,-0.3011933715656365,0.411,0.593,3.2215166483953457e-80
JAKMIP1,8.0140069264197875e-84,-0.28916467118347455,0.392,0.576,1.396841407274969e-79
LOC100229246,9.462893112906885e-84,-0.16315782784327554,0,0.057,1.64938226957967e-79
